坑口(北) (將軍澳醫院) (TK950)	坑口(北) (将军澳医院) (TK950)
坑口(北) (將軍澳醫院) (TK951)	坑口(北) (将军澳医院) (TK951)
坑口(北) (將軍澳醫院) (TK956)	坑口(北) (将军澳医院) (TK956)
將軍澳隧道轉車站 (G1) (LT302)	将军澳隧道转车站 (G1) (LT302)
將軍澳隧道轉車站 (G2) (LT301)	将军澳隧道转车站 (G2) (LT301)
將軍澳隧道轉車站 (G3) (LT300)	将军澳隧道转车站 (G3) (LT300)
將軍澳隧道轉車站 (P1) (LT202)	将军澳隧道转车站 (P1) (LT202)
將軍澳隧道轉車站 (P2) (LT201)	将军澳隧道转车站 (P2) (LT201)
將軍澳隧道轉車站 (P3) (LT200)	将军澳隧道转车站 (P3) (LT200)
尖東站 K11 MUSEA (YT215)	尖东站 K11 MUSEA (YT215)
尖東站 K11 MUSEA (YT216)	尖东站 K11 MUSEA (YT216)
尖東站 K11 MUSEA (YT217)	尖东站 K11 MUSEA (YT217)
尖東站 K11 MUSEA (YT630)	尖东站 K11 MUSEA (YT630)
尖東站 K11 MUSEA (YT631)	尖东站 K11 MUSEA (YT631)
尖東站 K11 MUSEA (YT632)	尖东站 K11 MUSEA (YT632)
尖東站 K11 MUSEA (YT633)	尖东站 K11 MUSEA (YT633)
屯門公路轉車站 (A10) (TM742)	屯门公路转车站 (A10) (TM742)
屯門公路轉車站 (A11) (TM743)	屯门公路转车站 (A11) (TM743)
屯門公路轉車站 (A12) (TM744)	屯门公路转车站 (A12) (TM744)
屯門公路轉車站 (A14) (TM746)	屯门公路转车站 (A14) (TM746)
屯門公路轉車站 (A15) (TM750)	屯门公路转车站 (A15) (TM750)
粉嶺站轉車站 - 粉嶺站 (ND495a)	粉岭站转车站 - 粉岭站 (ND495a)
上水轉車站 - 上水總站 (ND900)	上水转车站 - 上水总站 (ND900)
上水轉車站 - 上水總站 (ND901)	上水转车站 - 上水总站 (ND901)
上水轉車站 - 上水總站 (ND902)	上水转车站 - 上水总站 (ND902)
上水轉車站 - 上水總站 (ND903)	上水转车站 - 上水总站 (ND903)
上水轉車站 - 上水總站 (ND904)	上水转车站 - 上水总站 (ND904)
上水轉車站 - 上水總站 (ND905)	上水转车站 - 上水总站 (ND905)
上水轉車站 - 上水總站 (ND906)	上水转车站 - 上水总站 (ND906)
上水轉車站 - 上水總站 (ND907)	上水转车站 - 上水总站 (ND907)
上水轉車站 - 上水總站 (ND908)	上水转车站 - 上水总站 (ND908)
上水轉車站 - 上水總站 (ND909)	上水转车站 - 上水总站 (ND909)
上水轉車站 - 上水總站 (ND910)	上水转车站 - 上水总站 (ND910)
上水轉車站 - 上水總站 (ND911)	上水转车站 - 上水总站 (ND911)
上水轉車站 - 上水總站 (ND912)	上水转车站 - 上水总站 (ND912)
上水轉車站 - 上水總站 (ND913)	上水转车站 - 上水总站 (ND913)
九龍灣站(東九文化中心) (KT317)	九龙湾站(东九文化中心) (KT317)
九龍灣站(東九文化中心) (KT318)	九龙湾站(东九文化中心) (KT318)
九龍灣站(東九文化中心) (KT319)	九龙湾站(东九文化中心) (KT319)
九龍灣站(東九文化中心) (KT320)	九龙湾站(东九文化中心) (KT320)
九龍灣站(東九文化中心) (KT321)	九龙湾站(东九文化中心) (KT321)
九龍灣站(東九文化中心) (KT322)	九龙湾站(东九文化中心) (KT322)
何文田(愛民邨)巴士總站 (KC900)	何文田(爱民邨)巴士总站 (KC900)
何文田(愛民邨)巴士總站 (KC901)	何文田(爱民邨)巴士总站 (KC901)
何文田(愛民邨)巴士總站 (KC902)	何文田(爱民邨)巴士总站 (KC902)
何文田(愛民邨)巴士總站 (KC903)	何文田(爱民邨)巴士总站 (KC903)
坑口(北)(將軍澳醫院) (TK952)	坑口(北)(将军澳医院) (TK952)
坑口(北)(將軍澳醫院) (TK953)	坑口(北)(将军澳医院) (TK953)
坑口(北)(將軍澳醫院) (TK954)	坑口(北)(将军澳医院) (TK954)
坑口(北)(將軍澳醫院) (TK955)	坑口(北)(将军澳医院) (TK955)
坑口(北)(將軍澳醫院) (TK957)	坑口(北)(将军澳医院) (TK957)
城門隧道轉車站 (A1) (TW504)	城门隧道转车站 (A1) (TW504)
城門隧道轉車站 (A2) (TW503)	城门隧道转车站 (A2) (TW503)
城門隧道轉車站 (A3) (TW502)	城门隧道转车站 (A3) (TW502)
城門隧道轉車站 (A4) (TW501)	城门隧道转车站 (A4) (TW501)
城門隧道轉車站 (A5) (TW500)	城门隧道转车站 (A5) (TW500)
城門隧道轉車站 (B1) (TW305)	城门隧道转车站 (B1) (TW305)
城門隧道轉車站 (B2) (TW304)	城门隧道转车站 (B2) (TW304)
城門隧道轉車站 (B3) (TW303)	城门隧道转车站 (B3) (TW303)
城門隧道轉車站 (B4) (TW302)	城门隧道转车站 (B4) (TW302)
城門隧道轉車站 (B5) (TW301)	城门隧道转车站 (B5) (TW301)
城門隧道轉車站 (B6) (TW300)	城门隧道转车站 (B6) (TW300)
大欖隧道轉車站 (A1) (YL795)	大榄隧道转车站 (A1) (YL795)
大欖隧道轉車站 (A2) (YL794)	大榄隧道转车站 (A2) (YL794)
大欖隧道轉車站 (A3) (YL793)	大榄隧道转车站 (A3) (YL793)
大欖隧道轉車站 (A4) (YL792)	大榄隧道转车站 (A4) (YL792)
大欖隧道轉車站 (A5) (YL791)	大榄隧道转车站 (A5) (YL791)
大欖隧道轉車站 (A6) (YL790)	大榄隧道转车站 (A6) (YL790)
大欖隧道轉車站 (B1) (YL236)	大榄隧道转车站 (B1) (YL236)
大欖隧道轉車站 (B2) (YL235)	大榄隧道转车站 (B2) (YL235)
大欖隧道轉車站 (B3) (YL234)	大榄隧道转车站 (B3) (YL234)
大欖隧道轉車站 (B4) (YL233)	大榄隧道转车站 (B4) (YL233)
大欖隧道轉車站 (B5) (YL232)	大榄隧道转车站 (B5) (YL232)
大欖隧道轉車站 (B6) (YL231)	大榄隧道转车站 (B6) (YL231)
大窩口轉車站 -大窩口站 (KW130)	大窝口转车站 -大窝口站 (KW130)
大窩口轉車站 -大窩口站 (KW392)	大窝口转车站 -大窝口站 (KW392)
大窩口轉車站 -大窩口站 (KW393)	大窝口转车站 -大窝口站 (KW393)
大窩口轉車站 -大窩口站 (KW394)	大窝口转车站 -大窝口站 (KW394)
大窩口轉車站 -大窩口站 (KW395)	大窝口转车站 -大窝口站 (KW395)
寶田轉車站 - 寶田總站 (TM921)	宝田转车站 - 宝田总站 (TM921)
寶田轉車站 - 寶田總站 (TM922)	宝田转车站 - 宝田总站 (TM922)
寶田轉車站 - 寶田總站 (TM923)	宝田转车站 - 宝田总站 (TM923)
寶田轉車站 - 寶田總站 (TM924)	宝田转车站 - 宝田总站 (TM924)
尖沙咀轉車站 - 中間道 (YT101)	尖沙咀转车站 - 中间道 (YT101)
尖沙咀轉車站 - 中間道 (YT102)	尖沙咀转车站 - 中间道 (YT102)
尖沙咀轉車站 - 中間道 (YT561)	尖沙咀转车站 - 中间道 (YT561)
尖沙咀轉車站 - 中間道 (YT562)	尖沙咀转车站 - 中间道 (YT562)
尖沙咀轉車站 - 中間道 (YT563)	尖沙咀转车站 - 中间道 (YT563)
尖沙咀轉車站 - 中間道 (YT564)	尖沙咀转车站 - 中间道 (YT564)
尖沙咀轉車站 - 海防道 (YT103)	尖沙咀转车站 - 海防道 (YT103)
尖沙咀轉車站 - 海防道 (YT104)	尖沙咀转车站 - 海防道 (YT104)
尖沙咀轉車站 - 海防道 (YT105)	尖沙咀转车站 - 海防道 (YT105)
屯門公路轉車站 (A1) (TM758)	屯门公路转车站 (A1) (TM758)
屯門公路轉車站 (A2) (TM757)	屯门公路转车站 (A2) (TM757)
屯門公路轉車站 (A3) (TM756)	屯门公路转车站 (A3) (TM756)
屯門公路轉車站 (A4) (TM755)	屯门公路转车站 (A4) (TM755)
屯門公路轉車站 (A5) (TM754)	屯门公路转车站 (A5) (TM754)
屯門公路轉車站 (A6) (TM753)	屯门公路转车站 (A6) (TM753)
屯門公路轉車站 (A8) (TM751)	屯门公路转车站 (A8) (TM751)
屯門公路轉車站 (A9) (TM741)	屯门公路转车站 (A9) (TM741)
屯門公路轉車站 (B1) (TM107)	屯门公路转车站 (B1) (TM107)
屯門公路轉車站 (B2) (TM106)	屯门公路转车站 (B2) (TM106)
屯門公路轉車站 (B3) (TM105)	屯门公路转车站 (B3) (TM105)
屯門公路轉車站 (B4) (TM104)	屯门公路转车站 (B4) (TM104)
屯門公路轉車站 (B5) (TM103)	屯门公路转车站 (B5) (TM103)
屯門公路轉車站 (B6) (TM102)	屯门公路转车站 (B6) (TM102)
屯門公路轉車站 (B7) (TM101)	屯门公路转车站 (B7) (TM101)
屯門公路轉車站 (B9) (TM100)	屯门公路转车站 (B9) (TM100)
屯門公路轉車站 (C1) (TM113)	屯门公路转车站 (C1) (TM113)
屯門公路轉車站 (C2) (TM112)	屯门公路转车站 (C2) (TM112)
屯門公路轉車站 (C3) (TM111)	屯门公路转车站 (C3) (TM111)
屯門公路轉車站 (C5) (TM110)	屯门公路转车站 (C5) (TM110)
廣福道轉車站 - 寶鄉橋 (TP302)	广福道转车站 - 宝乡桥 (TP302)
廣福道轉車站 - 寶鄉橋 (TP304)	广福道转车站 - 宝乡桥 (TP304)
廣福道轉車站 - 寶鄉橋 (TP305)	广福道转车站 - 宝乡桥 (TP305)
廣福道轉車站 - 寶鄉橋 (TP306)	广福道转车站 - 宝乡桥 (TP306)
廣福道轉車站 - 寶鄉街 (TP545)	广福道转车站 - 宝乡街 (TP545)
廣福道轉車站 - 寶鄉街 (TP546)	广福道转车站 - 宝乡街 (TP546)
彩虹轉車站 - 彩虹總站 (WT990)	彩虹转车站 - 彩虹总站 (WT990)
彩虹轉車站 - 彩虹總站 (WT991)	彩虹转车站 - 彩虹总站 (WT991)
彩虹轉車站 - 彩虹總站 (WT992)	彩虹转车站 - 彩虹总站 (WT992)
彩虹轉車站 - 彩虹總站 (WT993)	彩虹转车站 - 彩虹总站 (WT993)
彩虹轉車站 - 彩虹總站 (WT994)	彩虹转车站 - 彩虹总站 (WT994)
彩虹轉車站 - 彩虹總站 (WT995)	彩虹转车站 - 彩虹总站 (WT995)
彩虹轉車站 - 彩虹總站 (WT996)	彩虹转车站 - 彩虹总站 (WT996)
往[九巴遊香港] 尖沙咀, 旺角及黃大仙	往[九巴游香港] 尖沙咀, 旺角及黄大仙
旺角街市, 地區康健中心 (MK626)	旺角街市, 地区康健中心 (MK626)
旺角街市, 地區康健中心 (MK627)	旺角街市, 地区康健中心 (MK627)
機場(地面運輸中心)總站 (CL905)	机场(地面运输中心)总站 (CL905)
機場(地面運輸中心)總站 (CL925)	机场(地面运输中心)总站 (CL925)
深水埗(大坑東)巴士總站 (SS936)	深水埗(大坑东)巴士总站 (SS936)
深水埗(欽州街)巴士總站 (SS970)	深水埗(钦州街)巴士总站 (SS970)
牛池灣轉車站 - 彩虹站 (WT891)	牛池湾转车站 - 彩虹站 (WT891)
牛池灣轉車站 - 彩虹站 (WT892)	牛池湾转车站 - 彩虹站 (WT892)
牛池灣轉車站 - 彩虹站 (WT893)	牛池湾转车站 - 彩虹站 (WT893)
牛池灣轉車站 - 彩虹站 (WT894)	牛池湾转车站 - 彩虹站 (WT894)
牛池灣轉車站 - 彩虹站 (WT895)	牛池湾转车站 - 彩虹站 (WT895)
牛池灣轉車站 - 彩虹站 (WT896)	牛池湾转车站 - 彩虹站 (WT896)
石門轉車站 - 濱景花園 (ST147)	石门转车站 - 滨景花园 (ST147)
石門轉車站 - 濱景花園 (ST148)	石门转车站 - 滨景花园 (ST148)
石門轉車站 - 濱景花園 (ST149)	石门转车站 - 滨景花园 (ST149)
粉嶺公路轉車站 (A1) (TP102)	粉岭公路转车站 (A1) (TP102)
粉嶺公路轉車站 (A2) (TP102)	粉岭公路转车站 (A2) (TP102)
粉嶺站轉車站 - 祥華邨 (ND182)	粉岭站转车站 - 祥华邨 (ND182)
粉嶺站轉車站 - 祥華邨 (ND184)	粉岭站转车站 - 祥华邨 (ND184)
粉嶺站轉車站 - 祥華邨 (ND185)	粉岭站转车站 - 祥华邨 (ND185)
粉嶺站轉車站 - 粉嶺站 (ND133)	粉岭站转车站 - 粉岭站 (ND133)
粉嶺站轉車站 - 粉嶺站 (ND134)	粉岭站转车站 - 粉岭站 (ND134)
粉嶺站轉車站 - 粉嶺站 (ND135)	粉岭站转车站 - 粉岭站 (ND135)
粉嶺站轉車站 - 粉嶺站 (ND495)	粉岭站转车站 - 粉岭站 (ND495)
粉嶺站轉車站 - 粉嶺站 (ND496)	粉岭站转车站 - 粉岭站 (ND496)
紅磡(紅鸞道) 嘉里酒店 (HH901)	红磡(红鸾道) 嘉里酒店 (HH901)
紅磡(紅鸞道) 嘉里酒店 (HH902)	红磡(红鸾道) 嘉里酒店 (HH902)
紅磡(紅鸞道) 嘉里酒店 (HH903)	红磡(红鸾道) 嘉里酒店 (HH903)
紅磡(紅鸞道) 嘉里酒店 (HH904)	红磡(红鸾道) 嘉里酒店 (HH904)
紅磡(紅鸞道) 嘉里酒店 (HH905)	红磡(红鸾道) 嘉里酒店 (HH905)
紅磡(紅鸞道) 嘉里酒店 (HH906)	红磡(红鸾道) 嘉里酒店 (HH906)
