‧	·
亞	亚
來	来
倫	伦
偉	伟
傑	杰
僑	侨
儉	俭
兒	儿
兩	两
凍	冻
凱	凯
別	别
則	则
創	创
劃	划
劇	剧
動	动
務	务
勝	胜
勞	劳
勵	励
匯	汇
區	区
協	协
吳	吴
員	员
啟	启
單	单
國	国
圍	围
園	园
圓	圆
圖	图
團	团
堅	坚
堯	尧
報	报
場	场
塊	块
塢	坞
墳	坟
壩	坝
壽	寿
奧	奥
娛	娱
媽	妈
孫	孙
學	学
宮	宫
實	实
寧	宁
審	审
寶	宝
將	将
專	专
對	对
導	导
島	岛
崗	岗
嶺	岭
嶼	屿
巒	峦
師	师
幹	干
庫	库
廈	厦
廟	庙
廠	厂
廣	广
張	张
強	强
徑	径
恆	恒
悅	悦
愛	爱
慶	庆
戲	戏
戶	户
掃	扫
揚	扬
數	数
斬	斩
昇	升
時	时
晉	晋
暉	晖
暢	畅
曉	晓
書	书
會	会
東	东
棟	栋
楊	杨
楓	枫
業	业
榮	荣
樂	乐
樓	楼
樞	枢
樹	树
橋	桥
機	机
橫	横
檢	检
檳	槟
櫸	榉
欄	栏
欖	榄
欽	钦
歐	欧
歡	欢
歷	历
氣	气
淨	净
湯	汤
滾	滚
滿	满
漁	渔
漢	汉
潔	洁
澗	涧
澤	泽
濕	湿
濟	济
濤	涛
濱	滨
瀅	滢
瀝	沥
灘	滩
灝	灏
灣	湾
烏	乌
燒	烧
營	营
爾	尔
牽	牵
獅	狮
獲	获
珮	佩
瑤	瑶
瑩	莹
瑪	玛
環	环
璽	玺
瓏	珑
產	产
畢	毕
當	当
疊	叠
療	疗
發	发
盞	盏
盤	盘
盧	卢
眾	众
硃	朱
硤	硖
碩	硕
碼	码
磚	砖
祐	佑
祿	禄
禮	礼
稅	税
積	积
窩	窝
競	竞
範	范
簡	简
籬	篱
紀	纪
約	约
紅	红
紐	纽
級	级
統	统
經	经
綜	综
綠	绿
維	维
網	网
線	线
練	练
總	总
繡	绣
纜	缆
羅	罗
義	义
翹	翘
聖	圣
聯	联
職	职
聽	听
肅	肃
臨	临
臺	台
興	兴
舊	旧
莊	庄
華	华
菴	庵
萊	莱
萬	万
葉	叶
蓮	莲
蔭	荫
薈	荟
藍	蓝
藝	艺
蘆	芦
蘇	苏
蘭	兰
蘿	萝
處	处
號	号
蠔	蚝
衛	卫
見	见
視	视
親	亲
覺	觉
覽	览
觀	观
計	计
訊	讯
訓	训
記	记
許	许
診	诊
詩	诗
誌	志
誠	诚
調	调
諾	诺
謙	谦
謝	谢
譚	谭
議	议
護	护
譽	誉
變	变
讓	让
豐	丰
貝	贝
財	财
貢	贡
貨	货
貫	贯
貴	贵
貿	贸
資	资
賈	贾
賓	宾
賞	赏
賢	贤
賦	赋
購	购
賽	赛
躍	跃
車	车
軍	军
軒	轩
較	较
輔	辅
輝	辉
輪	轮
輸	输
轉	转
農	农
迴	回
連	连
進	进
遊	游
運	运
達	达
遜	逊
遠	远
邁	迈
邊	边
郵	邮
鄉	乡
鄭	郑
醫	医
釆	采
釗	钊
銀	银
銅	铜
銘	铭
錢	钱
錦	锦
鍾	钟
鐘	钟
鐵	铁
鐸	铎
鑼	锣
鑽	钻
長	长
門	门
開	开
間	间
閘	闸
閣	阁
陳	陈
隊	队
際	际
隴	陇
雲	云
電	电
靈	灵
韻	韵
響	响
順	顺
頌	颂
頓	顿
領	领
頤	颐
頭	头
顏	颜
願	愿
類	类
顯	显
風	风
飛	飞
飲	饮
養	养
館	馆
饒	饶
馬	马
駕	驾
駛	驶
駿	骏
騰	腾
體	体
魚	鱼
鯉	鲤
鯽	鲫
鰂	鲗
鳳	凤
鳴	鸣
鴉	鸦
鴨	鸭
鴻	鸿
鵑	鹃
鵬	鹏
鵲	鹊
鶴	鹤
鸞	鸾
鹹	咸
鹽	盐
麗	丽
麥	麦
麵	面
麼	么
黃	黄
點	点
龍	龙
